rank	id	category	decision	repository	purpose
22	toxiproxy	TEST_RELIABILITY	PILOT_ISOLATED	Shopify/toxiproxy	Deterministic network fault injection for retry/fallback/idempotency tests.
23	ruff	TEST_RELIABILITY	ADOPT_NOW_BOUNDED	astral-sh/ruff	Fast Python lint/format quality gate.
24	uv	TEST_RELIABILITY	ADOPT_NOW	astral-sh/uv	Isolated Python tool execution and dependency resolution; pin fixed versions.
25	pre_commit	TEST_RELIABILITY	ADOPT_NOW_BOUNDED	pre-commit/pre-commit	Local deterministic hook orchestration; no replacement of sovereign CI authority.
26	pyright	TEST_RELIABILITY	PILOT_ISOLATED	microsoft/pyright	High-performance Python static type checking for high-value modules.
27	pytest_xdist	TEST_RELIABILITY	ADOPT_NOW_BOUNDED	pytest-dev/pytest-xdist	Parallelize safe independent test subsets to reduce verification latency.
28	otel_collector	OBS_AI	PILOT_ISOLATED	open-telemetry/opentelemetry-collector	Vendor-neutral telemetry collection/export without creating business truth.
29	otel_python	OBS_AI	ALREADY_BOUNDED	open-telemetry/opentelemetry-python	Existing privacy-safe instrumentation owner; extend only measured spans/metrics.
30	promptfoo	OBS_AI	PILOT_ISOLATED	promptfoo/promptfoo	Sandboxed LLM/agent eval and red-team for truth/tool/authority regressions.
31	phoenix	OBS_AI	PILOT_ISOLATED	Arize-ai/phoenix	Local OTel-based AI tracing/evals/experiments; no second commercial truth store.
32	litellm	OBS_AI	DEFER_MEASURED_GAP	BerriAI/litellm	Provider gateway candidate only if existing Dealix model router has a measured gap.
33	pydantic_ai	OBS_AI	DEFER_MEASURED_GAP	pydantic/pydantic-ai	Typed agent/tool patterns only; must not create second permanent agent framework/fleet.
34	mcp_python_sdk	OBS_AI	ADOPT_NOW_BOUNDED	modelcontextprotocol/python-sdk	Standardized bounded MCP clients/servers for connector adapters and testing.
35	instructor	OBS_AI	PILOT_ISOLATED	instructor-ai/instructor	Structured extraction/validation for research and document fields, evidence-preserving.
36	langfuse	OBS_AI	DEFER	langfuse/langfuse	Legacy compatibility only; do not expand into second observability/truth platform.
37	docling	DATA_DOCUMENT	PILOT_ISOLATED	docling-project/docling	Document parsing/PDF understanding with provenance into existing Company Brain/Data OS.
38	presidio	DATA_DOCUMENT	PILOT_ISOLATED	microsoft/presidio	PII detection/redaction before telemetry/evals/document processing.
39	apache_tika	DATA_DOCUMENT	PILOT_ISOLATED	apache/tika	Broad file-type metadata/text extraction; compare with Docling on hard formats.
40	duckdb	DATA_DOCUMENT	ADOPT_NOW_BOUNDED	duckdb/duckdb	Read-only local analytics over receipts/evidence without a new operational DB.
41	polars	DATA_DOCUMENT	PILOT_ISOLATED	pola-rs/polars	High-performance dataframe transforms for research/evidence pipelines.
42	great_expectations	DATA_DOCUMENT	PILOT_ISOLATED	great-expectations/great_expectations	Data-quality assertions where structured evidence pipelines justify it.
43	pgvector	DATA_DOCUMENT	REJECT_DUPLICATE_DEFAULT	pgvector/pgvector	Storage extension only if existing Company Brain proves a retrieval gap; never new truth owner.
44	rapidfuzz	DATA_DOCUMENT	ADOPT_NOW_BOUNDED	rapidfuzz/RapidFuzz	Entity/company/contact fuzzy matching and dedupe with conservative thresholds.
45	faker	DATA_DOCUMENT	PILOT_ISOLATED	joke2k/faker	Synthetic fixtures for tests only; synthetic data is never customer proof.
46	changedetection	OPS_MARKET	PILOT_ISOLATED	dgtlmoon/changedetection.io	Watch public/official pages for economic/regulatory changes; research-only signals.
47	apprise	OPS_MARKET	PILOT_ISOLATED	caronc/apprise	Unified internal notification adapter; no customer outreach authority.
48	opencode	OPS_MARKET	ADOPT_NOW_BOUNDED	anomalyco/opencode	Coding-agent governance and repo exploration patterns only; reuse AGENTS.md and explicit permissions, no parallel permanent fleet.
49	crawl4ai	OPS_MARKET	PILOT_ISOLATED	unclecode/crawl4ai	Public web research extraction for official/economic signal ingestion; obey source terms/robots.
50	n8n_skills	OPS_MARKET	ADOPT_NOW_BOUNDED	n8n-io/skills	Official n8n Skills paired with existing instance-level MCP for governed workflow authoring; no second scheduler or n8n instance.
