rank	id	category	decision	repository	owner	problem_solved	duplication_guard	benchmark	acceptance	rollback
61	stagehand	BROWSER_WEB	PILOT_ISOLATED	browserbase/stagehand	dealix-engineer	Hybrid deterministic plus AI browser automation for changing sites.	Playwright remains deterministic baseline and final acceptance authority.	Automate one public research flow with code-first steps and AI only for unstable navigation.	Must beat pure Playwright on maintenance cost without losing reproducibility.	Remove pilot package and browser profile.
62	browser_use	BROWSER_WEB	PILOT_ISOLATED	browser-use/browser-use	dealix-engineer	Exploratory browser-agent workflows for complex public research paths.	Not for deterministic production acceptance or customer-account actions.	Run one public read-only research task in a clean profile.	Adds successful extraction where fetch/Playwright cannot reasonably maintain selectors.	Delete isolated profile/env and revoke pilot key if used.
63	playwright_mcp	BROWSER_WEB	DEFER_MEASURED_GAP	microsoft/playwright-mcp	dealix-engineer	MCP browser tools using Playwright accessibility snapshots.	Existing Playwright and coding-agent CLI/skills are preferred for token efficiency.	Only benchmark if a connector-facing MCP browser gap is proven.	Admit only if tool interoperability outweighs schema/context overhead.	Remove MCP server config.
64	shellcheck	DEV_TRUST_CI	ADOPT_NOW_BOUNDED	koalaman/shellcheck	dealix-engineer	Static analysis for Bash/sh installers, acceptance runners and VPS control scripts.	Complements bash -n by detecting semantic shell hazards; no formatter or execution authority.	Scan canonical ops/install scripts and classify findings by correctness risk.	Low-noise actionable defects with no runtime service or production mutation.	Remove binary/config and retain bash -n baseline.
65	hadolint	DEV_TRUST_CI	PILOT_ISOLATED	hadolint/hadolint	dealix-engineer	Dockerfile linting for unsafe or inefficient image instructions.	Docker build and runtime acceptance remain authoritative; lint is advisory evidence.	Lint API/Web/worker Dockerfiles and measure useful findings versus noise.	Admit only if it catches reproducible image risks not covered by existing build gates.	Remove binary/config.
66	squawk	DEV_TRUST_CI	PILOT_ISOLATED	sbdchd/squawk	dealix-engineer	PostgreSQL migration and SQL safety linting for lock/downtime hazards.	Does not replace isolated real-Postgres acceptance; lint PASS is never migration safety proof.	Run on representative migrations/raw SQL with conservative Postgres rules.	Finds actionable lock/downtime hazards without rewriting accepted migrations automatically.	Remove CLI/config and keep real-Postgres acceptance authority.
67	feedparser	BROWSER_WEB	ADOPT_NOW_BOUNDED	kurtmckee/feedparser	dealix-sales	Deterministic RSS/Atom ingestion for regulatory, company and technology signals.	Only for official or attributable feeds; no feed item becomes opportunity automatically.	Ingest 10 feeds and verify timestamps, canonical links and duplicate handling.	Stable normalized events with provenance and low maintenance.	Remove package and disable feed adapters.
68	archivebox	BROWSER_WEB	DEFER_MEASURED_GAP	ArchiveBox/ArchiveBox	dealix-pm	Evidence snapshot/archive of public pages used in opportunity and proof decisions.	Do not build a second truth store or archive unrelated personal data.	Pilot one expiring public tender page and compare receipt size/operational cost.	Admit only if durable source preservation cannot be met by current receipt snapshots.	Delete archive service/data after sanitized export.
69	mineru	DOCUMENT_DATA	PILOT_ISOLATED	opendatalab/MinerU	dealix-sales	High-accuracy multilingual document parsing for tenders, reports and scanned packs.	Docling stays current first-line candidate; compare on hard Arabic/mixed-layout documents.	Parse 5 representative Arabic/English tender PDFs with tables and scans.	Admit if structure/table/OCR quality clearly exceeds Docling at acceptable resource cost and license gate passes.	Remove models/env and retain benchmark outputs.
70	lychee	DEV_TRUST_CI	ADOPT_NOW_BOUNDED	lycheeverse/lychee	dealix-engineer	Deterministic broken-link checking for repository docs and Dealix-owned public surfaces.	No broad third-party crawling; verify only repository-owned or explicitly listed links.	Check canonical docs plus Dealix-owned route inventory with retries bounded.	Finds reproducible dead links with low runtime and no mutation.	Remove binary/config.
71	sslyze	DEV_TRUST_CI	PILOT_ISOLATED	nabla-c0d3/sslyze	dealix-engineer	TLS/certificate/protocol evidence for Dealix-owned endpoints.	Read-only TRUST evidence only; never mutate DNS/certificates or scan third-party prospects.	Inspect generated and custom Dealix endpoints after exact release parity.	Produces actionable TLS evidence with no material action.	Remove package and retain provider/browser TLS checks.
72	lynis	DEV_TRUST_CI	PILOT_ISOLATED	CISOfy/lynis	dealix-engineer	Read-only VPS hardening assessment for configuration and security posture gaps.	Never auto-remediate; normalize findings into existing TRUST proof/action owners.	Audit a non-production snapshot or explicitly approved VPS read-only posture.	Adds concrete prioritized gaps without changing services/packages/config.	Remove tool and retain sanitized receipt.
73	pymupdf	DOCUMENT_DATA	ADOPT_NOW_BOUNDED	pymupdf/PyMuPDF	dealix-engineer	Fast deterministic PDF text/page/image inspection and preprocessing.	License gate overrides headline decision; do not use commercially/distribute until AGPL/commercial-license posture is accepted.	Benchmark extraction and page rendering on 20 PDFs after license review.	Low latency and deterministic output with explicitly accepted license fit.	Remove package and use pypdf/Docling fallback.
74	pypdf	DOCUMENT_DATA	ADOPT_NOW_BOUNDED	py-pdf/pypdf	dealix-engineer	Lightweight pure-Python PDF metadata, text, merge/split and form utilities.	Avoid duplicate heavy parsing; use for simple deterministic operations only.	Run round-trip/metadata tests on representative company PDFs.	Passes deterministic fixture tests with negligible operational cost.	Remove package and use existing PDF tooling.
75	pdfplumber	DOCUMENT_DATA	PILOT_ISOLATED	jsvine/pdfplumber	dealix-sales	Fine-grained PDF text/table geometry extraction for evidence packs.	Fallback only for table/layout cases unresolved by canonical parser.	Measure table extraction on 5 difficult PDFs.	Admit only for unique table accuracy.	Remove package.
76	openssf_scorecard	DEV_TRUST_CI	PILOT_ISOLATED	ossf/scorecard	dealix-engineer	Read-only upstream repository security-practice evidence for OSS admission and supply-chain review.	One evidence source only; never automatic allow/deny authority and do not duplicate OSV/Syft vulnerability truth.	Score a bounded set of current high-value dependencies and compare findings with existing admission receipts.	Findings materially improve dependency-risk decisions with acceptable false-positive/manual-review cost.	Remove binary/action and retain static receipt.
77	cosign	DEV_TRUST_CI	DEFER_MEASURED_GAP	sigstore/cosign	dealix-engineer	Sign and verify container/artifact provenance after a measured release-integrity gap.	No automatic signing identity/key creation; existing release identity and Proof Ledger remain authority.	Verify a test artifact/signature workflow without production registry mutation.	Admit only if it closes a concrete provenance gap and identity/key governance is explicit.	Remove test keys/config and keep unsigned baseline.
78	pandera	DOCUMENT_DATA	ADOPT_NOW_BOUNDED	unionai-oss/pandera	dealix-engineer	DataFrame/schema validation for research, proof and analytics pipelines.	Do not duplicate Pydantic at API boundaries; use only tabular/dataframe contracts.	Add schemas to one high-value Opportunity/Proof transform.	Catches malformed data early with low runtime/maintenance cost.	Remove schemas/package and revert to existing assertions.
79	pip_audit	DEV_TRUST_CI	ADOPT_NOW_BOUNDED	pypa/pip-audit	dealix-engineer	Python dependency vulnerability scanning using PyPI/OSV data.	OSV-Scanner remains cross-ecosystem authority; pip-audit is Python-specific cross-check.	Audit current lock/requirements and reconcile findings with OSV.	Adds actionable Python-specific evidence with low false-positive overhead.	Remove CLI and keep OSV path.
80	bandit	DEV_TRUST_CI	ADOPT_NOW_BOUNDED	PyCQA/bandit	dealix-engineer	Python security lint for common insecure coding patterns.	Semgrep handles broader policies; Bandit is a cheap Python-focused gate.	Run on app/scripts and measure signal-to-noise.	Low-noise findings with clear suppressions and no build slowdown.	Remove CLI/config.
81	pip_licenses	DEV_TRUST_CI	PILOT_ISOLATED	raimon49/pip-licenses	dealix-engineer	Python dependency license inventory for commercial distribution diligence.	Evidence only; not a legal decision engine.	Generate current environment license inventory and flag unknown/copyleft entries.	Useful complete inventory with maintainable policy mapping.	Remove tool; preserve generated receipt.
82	reuse_tool	DEV_TRUST_CI	PILOT_ISOLATED	fsfe/reuse-tool	dealix-engineer	SPDX/REUSE license and copyright compliance checks for source files.	Do not mass-edit headers before repository policy is agreed.	Audit repository in report-only mode.	Actionable compliance gaps without disruptive churn.	Remove tool/config if not adopted.
83	osv_scalibr	DEV_TRUST_CI	PILOT_ISOLATED	google/osv-scalibr	dealix-engineer	Software composition extraction and vulnerability evidence across artifacts.	Compare with Syft + OSV-Scanner; avoid redundant SBOM pipelines.	Scan one source tree/image and compare component/vulnerability coverage.	Admit only if unique ecosystem coverage or better precision is proven.	Remove binary and retain receipt.
84	cyclonedx_python	DEV_TRUST_CI	PILOT_ISOLATED	CycloneDX/cyclonedx-python	dealix-engineer	CycloneDX SBOM generation for Python environments.	Syft/cdxgen already provide broader SBOM; Python-only cross-check at most.	Generate one Python SBOM and compare completeness.	Admit only for meaningful Python metadata advantage.	Remove package/CLI.
85	nektos_act	DEV_TRUST_CI	ADOPT_FOR_ACCEPTANCE	nektos/act	dealix-engineer	Local reproduction of GitHub Actions workflows when hosted runners are unavailable.	Never treat local act as identical to GitHub-hosted execution; receipt must label emulator limitations.	Run one safe workflow subset on isolated current-main worktree.	Reproduces workflow syntax/step failures and reduces blocked verification time.	Remove Docker images/cache and CLI.
86	hyperfine	DEV_TRUST_CI	ADOPT_NOW_BOUNDED	sharkdp/hyperfine	dealix-engineer	Deterministic CLI benchmarking for acceptance/runtime optimization.	Benchmark evidence only; do not optimize vanity microseconds.	Compare two candidate verification commands across repeated runs.	Supports a concrete latency/cost decision with reproducible stats.	Remove binary and benchmark script.
87	sqlfluff	DEV_TRUST_CI	ADOPT_NOW_BOUNDED	sqlfluff/sqlfluff	dealix-engineer	SQL linting for migrations, analytics and raw-SQL safety/readability.	Do not auto-rewrite production migrations without review.	Lint migration/raw-SQL directories with conservative dialect config.	Low-noise errors and stable formatting rules.	Remove tool/config.
88	sqlglot	DEV_TRUST_CI	PILOT_ISOLATED	tobymao/sqlglot	dealix-engineer	SQL parsing/transpilation/normalization for static checks and query analysis.	No query execution authority; parser only.	Parse representative Postgres SQL and migration statements.	Improves deterministic SQL analysis without altering semantics.	Remove package.
89	in_toto	DEV_TRUST_CI	DEFER_MEASURED_GAP	in-toto/in-toto	dealix-engineer	Verifiable supply-chain attestations for build/test/release claims.	Feed existing Proof model; do not create a second proof store or treat attestation presence as release correctness.	Create and verify an isolated test attestation for a non-production artifact.	Admit only if provenance materially reduces release-audit ambiguity.	Remove test metadata/keys and keep current proof receipts.
90	guac	DEV_TRUST_CI	DEFER_MEASURED_GAP	guacsec/guac	dealix-engineer	Aggregate SBOM/provenance/vulnerability metadata into a queryable software-supply-chain graph.	Do not become a second Company Graph; only consider if current Syft/OSV/Grype receipts become too fragmented.	Load a small isolated fixture of existing supply-chain receipts and measure audit/query benefit.	Admit only if it materially lowers reconciliation effort versus existing receipt normalization.	Remove isolated services/database and retain exported benchmark.
91	scancode_toolkit	DEV_TRUST_CI	PILOT_ISOLATED	aboutcode-org/scancode-toolkit	dealix-engineer	Deep license/copyright/package-origin evidence for commercial OSS diligence.	Compare with Syft/REUSE/pip-licenses; evidence only, not a legal decision engine.	Scan one bounded repository/dependency fixture and compare unique findings and runtime cost.	Admit only for unique actionable provenance/license signal at acceptable resource cost.	Remove isolated env/image and retain sanitized report.
92	whisper_cpp	VOICE_COMMS	PILOT_ISOLATED	ggml-org/whisper.cpp	dealix-engineer	Portable local speech recognition with CPU-friendly quantized models.	Current faster-whisper is already bounded on main; admit only as a measured portability/CPU fallback.	Run same sanitized bilingual corpus on CPU.	Admit only if cost/latency/portability clearly wins for target hardware.	Remove model/binary.
93	spectral	API_CONTRACT	ADOPT_NOW_BOUNDED	stoplightio/spectral	dealix-engineer	OpenAPI/JSON/YAML linting for deterministic contract quality and style checks.	No runtime gateway authority; Schemathesis remains behavioral API testing baseline.	Lint the canonical Dealix API schema with a minimal documented ruleset.	Catches contract defects with low-noise deterministic output and no network mutation.	Remove CLI/ruleset and retain existing schema tests.
94	pact_python	API_CONTRACT	PILOT_ISOLATED	pact-foundation/pact-python	dealix-engineer	Consumer/provider contract testing for one high-value integration boundary.	Do not create a second API truth surface; OpenAPI/Schemathesis remain canonical general contracts.	Model one bounded provider integration and verify consumer/provider compatibility locally.	Admit only if it catches integration breakage not covered by existing schema tests.	Remove package/pact fixtures.
95	axe_core	WEB_GROWTH	ADOPT_FOR_ACCEPTANCE	dequelabs/axe-core	dealix-engineer	Automated accessibility checks for critical Dealix web routes.	Complement, not replace, keyboard/manual accessibility review.	Run on homepage, Arabic route, diagnostic and key conversion pages.	Zero critical/serious regressions or documented justified exceptions.	Remove test dependency/config.
96	lighthouse_ci	WEB_GROWTH	ADOPT_FOR_ACCEPTANCE	GoogleChrome/lighthouse-ci	dealix-engineer	Repeatable performance, SEO, accessibility and best-practice regression budgets.	Do not duplicate business analytics; build/release quality only.	Run static/local production build against critical routes with budgets.	Stable budgets that catch meaningful regressions without flaky gating.	Remove CI config/package.
97	pa11y	WEB_GROWTH	ADOPT_NOW_BOUNDED	pa11y/pa11y	dealix-engineer	CLI accessibility smoke checks suitable for deterministic route acceptance.	Axe-core may provide deeper rules; retain only if Pa11y adds cheap route coverage.	Run critical-route accessibility smoke in local build.	Fast stable pass/fail useful for current acceptance scripts.	Remove package/config.
98	sitespeed_io	WEB_GROWTH	PILOT_ISOLATED	sitespeedio/sitespeed.io	dealix-engineer	Detailed web performance and page-load diagnostics.	Lighthouse CI is first-line; use only for deeper performance bottlenecks.	Profile one slow/critical route locally or staging only.	Produces a concrete bottleneck not visible in Lighthouse budgets.	Remove container/package and reports after receipt.
99	openlineage	WEB_GROWTH	DEFER_MEASURED_GAP	OpenLineage/OpenLineage	dealix-engineer	Standard lineage events for data/evidence pipeline traceability.	Do not create a new metadata platform; existing provenance fields remain authority.	Only benchmark when cross-pipeline lineage becomes difficult to reconstruct.	Admit only if standard events reduce audit effort materially.	Remove integration.
100	sentry_cli	WEB_GROWTH	ADOPT_NOW_BOUNDED	getsentry/sentry-cli	dealix-engineer	Release/source-map/error-triage automation against existing Sentry authority.	Do not create another observability service; CLI only extends existing Sentry integration.	Verify release identity/source-map workflow on non-production current build.	Improves release/error correlation with minimal operational overhead.	Remove CLI/config and retain existing SDK path.
