company,contact,segment,pain_hypothesis,channel,motion,offer_id,status,next_action,next_action_date,priority,notes
هدف استراتيجي 41 — وكالة/خدمات,مدير حسابات 41,agency_wedge,العميل يسأل ماذا حدث بعد الحملة,email_warm,A,ten_lead_audit,message_drafted,مسودة لمسة — موافقة قبل الإرسال,,medium,seed strategic target — warm list expansion
هدف استراتيجي 42 — وكالة/خدمات,مدير حسابات 42,direct_b2b,CRM مليان بلا owner,partner_intro,B,governed_diagnostic,replied,مسودة لمسة — موافقة قبل الإرسال,,low,seed strategic target — warm list expansion
هدف استراتيجي 43 — وكالة/خدمات,مدير حسابات 43,crm_partner,follow-up غير موثق,linkedin_manual,C,diagnostic_layer,not_contacted,مسودة لمسة — موافقة قبل الإرسال,,high,seed strategic target — warm list expansion
هدف استراتيجي 44 — وكالة/خدمات,مدير حسابات 44,agency_partner,co-sell pilot واحد,email_warm,D,partner_sprint,message_drafted,مسودة لمسة — موافقة قبل الإرسال,,medium,seed strategic target — warm list expansion
هدف استراتيجي 45 — وكالة/خدمات,مدير حسابات 45,executive_governance,AI بلا حوكمة,partner_intro,A,executive_diagnostic,replied,مسودة لمسة — موافقة قبل الإرسال,,low,seed strategic target — warm list expansion
هدف استراتيجي 46 — وكالة/خدمات,مدير حسابات 46,agency_wedge,العميل يسأل ماذا حدث بعد الحملة,linkedin_manual,A,ten_lead_audit,not_contacted,مسودة لمسة — موافقة قبل الإرسال,,high,seed strategic target — warm list expansion
هدف استراتيجي 47 — وكالة/خدمات,مدير حسابات 47,direct_b2b,CRM مليان بلا owner,email_warm,B,governed_diagnostic,message_drafted,مسودة لمسة — موافقة قبل الإرسال,,medium,seed strategic target — warm list expansion
هدف استراتيجي 48 — وكالة/خدمات,مدير حسابات 48,crm_partner,follow-up غير موثق,partner_intro,C,diagnostic_layer,replied,مسودة لمسة — موافقة قبل الإرسال,,low,seed strategic target — warm list expansion
هدف استراتيجي 49 — وكالة/خدمات,مدير حسابات 49,agency_partner,co-sell pilot واحد,linkedin_manual,D,partner_sprint,not_contacted,مسودة لمسة — موافقة قبل الإرسال,,high,seed strategic target — warm list expansion
هدف استراتيجي 50 — وكالة/خدمات,مدير حسابات 50,executive_governance,AI بلا حوكمة,email_warm,A,executive_diagnostic,message_drafted,مسودة لمسة — موافقة قبل الإرسال,,medium,seed strategic target — warm list expansion
هدف استراتيجي 51 — وكالة/خدمات,مدير حسابات 51,agency_wedge,العميل يسأل ماذا حدث بعد الحملة,partner_intro,A,ten_lead_audit,replied,مسودة لمسة — موافقة قبل الإرسال,,low,seed strategic target — warm list expansion
هدف استراتيجي 52 — وكالة/خدمات,مدير حسابات 52,direct_b2b,CRM مليان بلا owner,linkedin_manual,B,governed_diagnostic,not_contacted,مسودة لمسة — موافقة قبل الإرسال,,high,seed strategic target — warm list expansion
هدف استراتيجي 53 — وكالة/خدمات,مدير حسابات 53,crm_partner,follow-up غير موثق,email_warm,C,diagnostic_layer,message_drafted,مسودة لمسة — موافقة قبل الإرسال,,medium,seed strategic target — warm list expansion
هدف استراتيجي 54 — وكالة/خدمات,مدير حسابات 54,agency_partner,co-sell pilot واحد,partner_intro,D,partner_sprint,replied,مسودة لمسة — موافقة قبل الإرسال,,low,seed strategic target — warm list expansion
هدف استراتيجي 55 — وكالة/خدمات,مدير حسابات 55,executive_governance,AI بلا حوكمة,linkedin_manual,A,executive_diagnostic,not_contacted,مسودة لمسة — موافقة قبل الإرسال,,high,seed strategic target — warm list expansion
هدف استراتيجي 56 — وكالة/خدمات,مدير حسابات 56,agency_wedge,العميل يسأل ماذا حدث بعد الحملة,email_warm,A,ten_lead_audit,message_drafted,مسودة لمسة — موافقة قبل الإرسال,,medium,seed strategic target — warm list expansion
هدف استراتيجي 57 — وكالة/خدمات,مدير حسابات 57,direct_b2b,CRM مليان بلا owner,partner_intro,B,governed_diagnostic,replied,مسودة لمسة — موافقة قبل الإرسال,,low,seed strategic target — warm list expansion
هدف استراتيجي 58 — وكالة/خدمات,مدير حسابات 58,crm_partner,follow-up غير موثق,linkedin_manual,C,diagnostic_layer,message_drafted,مسودة لمسة — موافقة قبل الإرسال,2026-05-17,high,seed strategic target — warm list expansion
هدف استراتيجي 59 — وكالة/خدمات,مدير حسابات 59,agency_partner,co-sell pilot واحد,email_warm,D,partner_sprint,message_drafted,مسودة لمسة — موافقة قبل الإرسال,,medium,seed strategic target — warm list expansion
هدف استراتيجي 60 — وكالة/خدمات,مدير حسابات 60,executive_governance,AI بلا حوكمة,partner_intro,A,executive_diagnostic,replied,مسودة لمسة — موافقة قبل الإرسال,,low,seed strategic target — warm list expansion
هدف استراتيجي 61 — وكالة/خدمات,مدير حسابات 61,agency_wedge,العميل يسأل ماذا حدث بعد الحملة,linkedin_manual,A,ten_lead_audit,message_drafted,مسودة لمسة — موافقة قبل الإرسال,2026-05-17,high,seed strategic target — warm list expansion
هدف استراتيجي 62 — وكالة/خدمات,مدير حسابات 62,direct_b2b,CRM مليان بلا owner,email_warm,B,governed_diagnostic,message_drafted,مسودة لمسة — موافقة قبل الإرسال,,medium,seed strategic target — warm list expansion
هدف استراتيجي 63 — وكالة/خدمات,مدير حسابات 63,crm_partner,follow-up غير موثق,partner_intro,C,diagnostic_layer,replied,مسودة لمسة — موافقة قبل الإرسال,,low,seed strategic target — warm list expansion
هدف استراتيجي 64 — وكالة/خدمات,مدير حسابات 64,agency_partner,co-sell pilot واحد,linkedin_manual,D,partner_sprint,message_drafted,مسودة لمسة — موافقة قبل الإرسال,2026-05-17,high,seed strategic target — warm list expansion
هدف استراتيجي 65 — وكالة/خدمات,مدير حسابات 65,executive_governance,AI بلا حوكمة,email_warm,A,executive_diagnostic,message_drafted,مسودة لمسة — موافقة قبل الإرسال,,medium,seed strategic target — warm list expansion
هدف استراتيجي 66 — وكالة/خدمات,مدير حسابات 66,agency_wedge,العميل يسأل ماذا حدث بعد الحملة,partner_intro,A,ten_lead_audit,replied,مسودة لمسة — موافقة قبل الإرسال,,low,seed strategic target — warm list expansion
هدف استراتيجي 67 — وكالة/خدمات,مدير حسابات 67,direct_b2b,CRM مليان بلا owner,linkedin_manual,B,governed_diagnostic,message_drafted,مسودة لمسة — موافقة قبل الإرسال,2026-05-17,high,seed strategic target — warm list expansion
هدف استراتيجي 68 — وكالة/خدمات,مدير حسابات 68,crm_partner,follow-up غير موثق,email_warm,C,diagnostic_layer,message_drafted,مسودة لمسة — موافقة قبل الإرسال,,medium,seed strategic target — warm list expansion
هدف استراتيجي 69 — وكالة/خدمات,مدير حسابات 69,agency_partner,co-sell pilot واحد,partner_intro,D,partner_sprint,replied,مسودة لمسة — موافقة قبل الإرسال,,low,seed strategic target — warm list expansion
هدف استراتيجي 70 — وكالة/خدمات,مدير حسابات 70,executive_governance,AI بلا حوكمة,linkedin_manual,A,executive_diagnostic,message_drafted,مسودة لمسة — موافقة قبل الإرسال,2026-05-17,high,seed strategic target — warm list expansion
هدف استراتيجي 71 — وكالة/خدمات,مدير حسابات 71,agency_wedge,العميل يسأل ماذا حدث بعد الحملة,email_warm,A,ten_lead_audit,message_drafted,مسودة لمسة — موافقة قبل الإرسال,,medium,seed strategic target — warm list expansion
هدف استراتيجي 72 — وكالة/خدمات,مدير حسابات 72,direct_b2b,CRM مليان بلا owner,partner_intro,B,governed_diagnostic,replied,مسودة لمسة — موافقة قبل الإرسال,,low,seed strategic target — warm list expansion
هدف استراتيجي 73 — وكالة/خدمات,مدير حسابات 73,crm_partner,follow-up غير موثق,linkedin_manual,C,diagnostic_layer,message_drafted,مسودة لمسة — موافقة قبل الإرسال,2026-05-17,high,seed strategic target — warm list expansion
هدف استراتيجي 74 — وكالة/خدمات,مدير حسابات 74,agency_partner,co-sell pilot واحد,email_warm,D,partner_sprint,message_drafted,مسودة لمسة — موافقة قبل الإرسال,,medium,seed strategic target — warm list expansion
هدف استراتيجي 75 — وكالة/خدمات,مدير حسابات 75,executive_governance,AI بلا حوكمة,partner_intro,A,executive_diagnostic,replied,مسودة لمسة — موافقة قبل الإرسال,,low,seed strategic target — warm list expansion
هدف استراتيجي 76 — وكالة/خدمات,مدير حسابات 76,agency_wedge,العميل يسأل ماذا حدث بعد الحملة,linkedin_manual,A,ten_lead_audit,message_drafted,مسودة لمسة — موافقة قبل الإرسال,2026-05-17,high,seed strategic target — warm list expansion
هدف استراتيجي 77 — وكالة/خدمات,مدير حسابات 77,direct_b2b,CRM مليان بلا owner,email_warm,B,governed_diagnostic,message_drafted,مسودة لمسة — موافقة قبل الإرسال,,medium,seed strategic target — warm list expansion
هدف استراتيجي 78 — وكالة/خدمات,مدير حسابات 78,crm_partner,follow-up غير موثق,partner_intro,C,diagnostic_layer,replied,مسودة لمسة — موافقة قبل الإرسال,,low,seed strategic target — warm list expansion
هدف استراتيجي 79 — وكالة/خدمات,مدير حسابات 79,agency_partner,co-sell pilot واحد,linkedin_manual,D,partner_sprint,message_drafted,مسودة لمسة — موافقة قبل الإرسال,2026-05-17,high,seed strategic target — warm list expansion
هدف استراتيجي 80 — وكالة/خدمات,مدير حسابات 80,executive_governance,AI بلا حوكمة,email_warm,A,executive_diagnostic,message_drafted,مسودة لمسة — موافقة قبل الإرسال,,medium,seed strategic target — warm list expansion
هدف استراتيجي 81 — وكالة/خدمات,مدير حسابات 81,agency_wedge,العميل يسأل ماذا حدث بعد الحملة,partner_intro,A,ten_lead_audit,replied,مسودة لمسة — موافقة قبل الإرسال,,low,seed strategic target — warm list expansion
هدف استراتيجي 82 — وكالة/خدمات,مدير حسابات 82,direct_b2b,CRM مليان بلا owner,linkedin_manual,B,governed_diagnostic,message_drafted,مسودة لمسة — موافقة قبل الإرسال,2026-05-17,high,seed strategic target — warm list expansion
هدف استراتيجي 83 — وكالة/خدمات,مدير حسابات 83,crm_partner,follow-up غير موثق,email_warm,C,diagnostic_layer,message_drafted,مسودة لمسة — موافقة قبل الإرسال,,medium,seed strategic target — warm list expansion
هدف استراتيجي 84 — وكالة/خدمات,مدير حسابات 84,agency_partner,co-sell pilot واحد,partner_intro,D,partner_sprint,replied,مسودة لمسة — موافقة قبل الإرسال,,low,seed strategic target — warm list expansion
هدف استراتيجي 85 — وكالة/خدمات,مدير حسابات 85,executive_governance,AI بلا حوكمة,linkedin_manual,A,executive_diagnostic,message_drafted,مسودة لمسة — موافقة قبل الإرسال,2026-05-17,high,seed strategic target — warm list expansion
هدف استراتيجي 86,مدير حسابات 86,retail,حملات موسمية بلا إغلاق,linkedin_manual,A,agency_proof_pack,message_drafted,مسودة — موافقة قبل الإرسال,,low,seed strategic slot 86
هدف استراتيجي 87,مدير حسابات 87,education,تسجيل inbound بلا متابعة,inbound,B,ten_lead_audit,sent_manual,مسودة — موافقة قبل الإرسال,,high,seed strategic slot 87 | warm_list:priority_high
هدف استراتيجي 88,مدير حسابات 88,logistics,عروض B2B بلا evidence,email_warm,C,diagnostic_layer,replied,مسودة — موافقة قبل الإرسال,,medium,seed strategic slot 88
هدف استراتيجي 89,مدير حسابات 89,media_buying,تقارير media بلا post-lead ops,linkedin_manual,A,ten_lead_audit,meeting_booked,مسودة — موافقة قبل الإرسال,,low,seed strategic slot 89
هدف استراتيجي 90,مدير حسابات 90,ecommerce,سلة متروكة بلا قرار إيراد,inbound,B,governed_diagnostic,not_contacted,مسودة — موافقة قبل الإرسال,,high,seed strategic slot 90 | warm_list:priority_high
هدف استراتيجي 91,مدير حسابات 91,agency_wedge,العميل يسأل عن ROI بعد الحملة,linkedin_manual,A,ten_lead_audit,message_drafted,مسودة — موافقة قبل الإرسال,,medium,seed strategic slot 91
هدف استراتيجي 92,مدير حسابات 92,agency_wedge,لا proof أسبوعي للعميل,email_warm,A,agency_proof_pack,sent_manual,مسودة — موافقة قبل الإرسال,,low,seed strategic slot 92
هدف استراتيجي 93,مدير حسابات 93,direct_b2b,متابعة أولى بطيئة,email_warm,B,governed_diagnostic,replied,مسودة — موافقة قبل الإرسال,,high,seed strategic slot 93 | warm_list:priority_high
هدف استراتيجي 94,مدير حسابات 94,saas,توسع AI بدون حوكمة,linkedin_manual,D,executive_diagnostic,meeting_booked,مسودة — موافقة قبل الإرسال,,medium,seed strategic slot 94
هدف استراتيجي 95,مدير حسابات 95,crm_partner,تنفيذ CRM قبل التشخيص,phone_task,C,diagnostic_layer,not_contacted,مسودة — موافقة قبل الإرسال,,low,seed strategic slot 95
هدف استراتيجي 96,مدير حسابات 96,consulting_firm,عملاء يطلبون أتمتة بلا أدلة,email_warm,A,agency_proof_pack,message_drafted,مسودة — موافقة قبل الإرسال,,high,seed strategic slot 96 | warm_list:priority_high
هدف استراتيجي 97,مدير حسابات 97,hospitality,استفسارات MICE بلا owner,phone_task,B,ten_lead_audit,sent_manual,مسودة — موافقة قبل الإرسال,,medium,seed strategic slot 97
هدف استراتيجي 98,مدير حسابات 98,real_estate_developer,جودة leads inbound,email_warm,B,ten_lead_audit,replied,مسودة — موافقة قبل الإرسال,,low,seed strategic slot 98
هدف استراتيجي 99,مدير حسابات 99,agency_partner,co-sell عميل واحد,partner_intro,A,partner_sprint,meeting_booked,مسودة — موافقة قبل الإرسال,,high,seed strategic slot 99 | warm_list:priority_high
هدف استراتيجي 100,مدير حسابات 100,marketing_agency,ضغط inbound,inbound,A,ten_lead_audit,not_contacted,مسودة — موافقة قبل الإرسال,,medium,seed strategic slot 100
هدف استراتيجي 101,مدير حسابات 101,executive_governance,مخاطر توسع AI,partner_intro,D,executive_diagnostic,message_drafted,مسودة — موافقة قبل الإرسال,,low,seed strategic slot 101
هدف استراتيجي 102,مدير حسابات 102,fintech,leads مالية بلا تسليم Proof,email_warm,B,governed_diagnostic,sent_manual,مسودة — موافقة قبل الإرسال,,high,seed strategic slot 102 | warm_list:priority_high
هدف استراتيجي 103,مدير حسابات 103,healthcare,متابعة مريض/عميل بلا owner,phone_task,B,ten_lead_audit,replied,مسودة — موافقة قبل الإرسال,,medium,seed strategic slot 103
هدف استراتيجي 104,مدير حسابات 104,retail,حملات موسمية بلا إغلاق,linkedin_manual,A,agency_proof_pack,meeting_booked,مسودة — موافقة قبل الإرسال,,low,seed strategic slot 104
هدف استراتيجي 105,مدير حسابات 105,education,تسجيل inbound بلا متابعة,phone_task,B,ten_lead_audit,not_contacted,مسودة — موافقة قبل الإرسال,,high,seed strategic slot 105 | warm_list:priority_high
هدف استراتيجي 106,مدير حسابات 106,logistics,عروض B2B بلا evidence,email_warm,C,diagnostic_layer,message_drafted,مسودة — موافقة قبل الإرسال,,medium,seed strategic slot 106
هدف استراتيجي 107,مدير حسابات 107,media_buying,تقارير media بلا post-lead ops,linkedin_manual,A,ten_lead_audit,sent_manual,مسودة — موافقة قبل الإرسال,,low,seed strategic slot 107
هدف استراتيجي 108,مدير حسابات 108,ecommerce,سلة متروكة بلا قرار إيراد,email_warm,B,governed_diagnostic,replied,مسودة — موافقة قبل الإرسال,,high,seed strategic slot 108 | warm_list:priority_high
هدف استراتيجي 109,مدير حسابات 109,agency_wedge,العميل يسأل عن ROI بعد الحملة,linkedin_manual,A,ten_lead_audit,meeting_booked,مسودة — موافقة قبل الإرسال,,medium,seed strategic slot 109
هدف استراتيجي 110,مدير حسابات 110,agency_wedge,لا proof أسبوعي للعميل,inbound,A,agency_proof_pack,not_contacted,مسودة — موافقة قبل الإرسال,,low,seed strategic slot 110
هدف استراتيجي 111,مدير حسابات 111,direct_b2b,متابعة أولى بطيئة,email_warm,B,governed_diagnostic,message_drafted,مسودة — موافقة قبل الإرسال,,high,seed strategic slot 111 | warm_list:priority_high
هدف استراتيجي 112,مدير حسابات 112,saas,توسع AI بدون حوكمة,linkedin_manual,D,executive_diagnostic,sent_manual,مسودة — موافقة قبل الإرسال,,medium,seed strategic slot 112
هدف استراتيجي 113,مدير حسابات 113,crm_partner,تنفيذ CRM قبل التشخيص,email_warm,C,diagnostic_layer,replied,مسودة — موافقة قبل الإرسال,,low,seed strategic slot 113
هدف استراتيجي 114,مدير حسابات 114,consulting_firm,عملاء يطلبون أتمتة بلا أدلة,email_warm,A,agency_proof_pack,meeting_booked,مسودة — موافقة قبل الإرسال,,high,seed strategic slot 114 | warm_list:priority_high
هدف استراتيجي 115,مدير حسابات 115,hospitality,استفسارات MICE بلا owner,phone_task,B,ten_lead_audit,not_contacted,مسودة — موافقة قبل الإرسال,,medium,seed strategic slot 115
هدف استراتيجي 116,مدير حسابات 116,real_estate_developer,جودة leads inbound,email_warm,B,ten_lead_audit,message_drafted,مسودة — موافقة قبل الإرسال,,low,seed strategic slot 116
هدف استراتيجي 117,مدير حسابات 117,agency_partner,co-sell عميل واحد,partner_intro,A,partner_sprint,sent_manual,مسودة — موافقة قبل الإرسال,,high,seed strategic slot 117 | warm_list:priority_high
هدف استراتيجي 118,مدير حسابات 118,marketing_agency,ضغط inbound,linkedin_manual,A,ten_lead_audit,replied,مسودة — موافقة قبل الإرسال,,medium,seed strategic slot 118
هدف استراتيجي 119,مدير حسابات 119,executive_governance,مخاطر توسع AI,partner_intro,D,executive_diagnostic,meeting_booked,مسودة — موافقة قبل الإرسال,,low,seed strategic slot 119
هدف استراتيجي 120,مدير حسابات 120,fintech,leads مالية بلا تسليم Proof,inbound,B,governed_diagnostic,not_contacted,مسودة — موافقة قبل الإرسال,,high,seed strategic slot 120 | warm_list:priority_high
هدف استراتيجي 121,مدير حسابات 121,healthcare,متابعة مريض/عميل بلا owner,phone_task,B,ten_lead_audit,message_drafted,مسودة — موافقة قبل الإرسال,,medium,seed strategic slot 121
هدف استراتيجي 122,مدير حسابات 122,retail,حملات موسمية بلا إغلاق,linkedin_manual,A,agency_proof_pack,sent_manual,مسودة — موافقة قبل الإرسال,,low,seed strategic slot 122
هدف استراتيجي 123,مدير حسابات 123,education,تسجيل inbound بلا متابعة,inbound,B,ten_lead_audit,replied,مسودة — موافقة قبل الإرسال,,high,seed strategic slot 123 | warm_list:priority_high
هدف استراتيجي 124,مدير حسابات 124,logistics,عروض B2B بلا evidence,email_warm,C,diagnostic_layer,meeting_booked,مسودة — موافقة قبل الإرسال,,medium,seed strategic slot 124
هدف استراتيجي 125,مدير حسابات 125,media_buying,تقارير media بلا post-lead ops,phone_task,A,ten_lead_audit,not_contacted,مسودة — موافقة قبل الإرسال,,low,seed strategic slot 125
هدف استراتيجي 126,مدير حسابات 126,ecommerce,سلة متروكة بلا قرار إيراد,email_warm,B,governed_diagnostic,message_drafted,مسودة — موافقة قبل الإرسال,,high,seed strategic slot 126 | warm_list:priority_high
هدف استراتيجي 127,مدير حسابات 127,agency_wedge,العميل يسأل عن ROI بعد الحملة,linkedin_manual,A,ten_lead_audit,sent_manual,مسودة — موافقة قبل الإرسال,,medium,seed strategic slot 127
هدف استراتيجي 128,مدير حسابات 128,agency_wedge,لا proof أسبوعي للعميل,email_warm,A,agency_proof_pack,replied,مسودة — موافقة قبل الإرسال,,low,seed strategic slot 128
هدف استراتيجي 129,مدير حسابات 129,direct_b2b,متابعة أولى بطيئة,email_warm,B,governed_diagnostic,meeting_booked,مسودة — موافقة قبل الإرسال,,high,seed strategic slot 129 | warm_list:priority_high
هدف استراتيجي 130,مدير حسابات 130,saas,توسع AI بدون حوكمة,inbound,D,executive_diagnostic,not_contacted,مسودة — موافقة قبل الإرسال,,medium,seed strategic slot 130
هدف استراتيجي 131,مدير حسابات 131,crm_partner,تنفيذ CRM قبل التشخيص,email_warm,C,diagnostic_layer,message_drafted,مسودة — موافقة قبل الإرسال,,low,seed strategic slot 131
هدف استراتيجي 132,مدير حسابات 132,consulting_firm,عملاء يطلبون أتمتة بلا أدلة,email_warm,A,agency_proof_pack,sent_manual,مسودة — موافقة قبل الإرسال,,high,seed strategic slot 132 | warm_list:priority_high
هدف استراتيجي 133,مدير حسابات 133,hospitality,استفسارات MICE بلا owner,phone_task,B,ten_lead_audit,replied,مسودة — موافقة قبل الإرسال,,medium,seed strategic slot 133
هدف استراتيجي 134,مدير حسابات 134,real_estate_developer,جودة leads inbound,email_warm,B,ten_lead_audit,meeting_booked,مسودة — موافقة قبل الإرسال,,low,seed strategic slot 134
